id,price,sale price,gyarto,modell,evjarat,km ora,uzemenyag,KW,LE,allapot,csomagtarto,kivitel,szemelyek_szama,szin,hengerurtartalom,hajtas,valto tipus,valto szam,valto subtipus,vegyes fogyasztas
21995698,,,SKODA,OCTAVIA,2007.83,174000.0,Dízel,77.0,105.0,Kitűnő,560.0,Ferdehátú,5.0,Fekete,1896.0,Első kerék,Manuális,5.0,,5.0
21894302,,,VOLKSWAGEN,PASSAT PASSAT VI,2006.83,236847.0,Benzin,85.0,116.0,Megkímélt,513.0,Kombi,5.0,Sötétbarna (metál),1598.0,Első kerék,Manuális,6.0,,7.8
22154179,1750000.0,,ALFA ROMEO,159,2008.75,178000.0,Dízel,110.0,150.0,Normál,405.0,Sedan,5.0,Sötétbarna,1910.0,Első kerék,Manuális,6.0,,5.9
22151258,1750000.0,,VOLVO,V50,2011.0,217700.0,Dízel,84.0,114.0,Kitűnő,417.0,Kombi,5.0,Sötétszürke,1560.0,Első kerék,Manuális,6.0,,3.9
22145807,1750000.0,,FORD,MONDEO,2011.17,253816.0,Dízel,103.0,140.0,Normál,554.0,Kombi,5.0,Fekete,1997.0,Első kerék,Manuális,6.0,,4.9
22144875,1750000.0,,FORD,MONDEO,2008.83,242900.0,Dízel,103.0,140.0,Megkímélt,554.0,Kombi,5.0,Fekete,1997.0,Első kerék,Automata,6.0,tiptronic,5.9
22141406,1750000.0,,CITROEN,C3,2013.67,150000.0,Benzin/Gáz,50.0,68.0,Megkímélt,300.0,Ferdehátú,5.0,Fehér,999.0,Első kerék,Manuális,5.0,,4.3
22042178,1750000.0,,FORD,MONDEO,2008.92,188000.0,Benzin,107.0,145.0,Megkímélt,550.0,Sedan,5.0,Sötétkék,1999.0,Első kerék,Manuális,5.0,,7.9
22020741,1750000.0,,FORD,FIESTA,2012.0,168000.0,Benzin,60.0,82.0,Sérülésmentes,295.0,Ferdehátú,5.0,Sötétkék,1242.0,Első kerék,Manuális,5.0,,5.7
22006499,1750000.0,,OPEL,ASTRA ASTRA J,2011.0,220000.0,Benzin,64.0,87.0,Normál,370.0,Ferdehátú,5.0,Fekete,1398.0,Első kerék,Manuális,5.0,,5.5
21977611,1750000.0,,TOYOTA,YARIS,2010.67,231000.0,Dízel,66.0,90.0,Megkímélt,275.0,Ferdehátú,5.0,Piros,1364.0,Első kerék,Manuális,6.0,,4.2
22039252,1780000.0,,HONDA,FR-V,2008.17,189500.0,Benzin,103.0,140.0,Kitűnő,439.0,Egyterű,6.0,Fekete (metál),1799.0,Első kerék,Manuális,6.0,,7.5
22138889,1699999.0,,SKODA,OCTAVIA,2008.92,181321.0,Dízel,77.0,105.0,Normál,580.0,Kombi,5.0,,1896.0,Első kerék,Manuális,5.0,,5.0
21727081,1699999.0,,SKODA,OCTAVIA,2004.5,189211.0,Dízel,96.0,131.0,Normál,548.0,Kombi,5.0,Fekete,1896.0,Első kerék,Manuális,5.0,,5.0
22157540,1790000.0,,KIA,CEE'D,2010.0,147000.0,Benzin,66.0,90.0,Normál,340.0,Ferdehátú,5.0,,1396.0,Első kerék,Manuális,5.0,,5.5
22075436,1790000.0,,AUDI,A4,2003.17,521000.0,Dízel,96.0,131.0,Normál,445.0,Kombi,5.0,Fekete,1896.0,Első kerék,Manuális,6.0,,5.6
22139502,1790000.0,,SUZUKI,SWIFT,2007.0,147000.0,Benzin,68.0,92.0,Kitűnő,213.0,Ferdehátú,5.0,Narancs (metál),1328.0,Első kerék,Manuális,5.0,,6.2
22136071,1790000.0,,ALFA ROMEO,159,2009.67,190896.0,Dízel,110.0,150.0,Megkímélt,445.0,Kombi,5.0,Fehér,1910.0,Első kerék,Manuális,6.0,,6.0
22135371,1790000.0,,FORD,FIESTA,2009.5,126300.0,Benzin,71.0,97.0,Megkímélt,295.0,Ferdehátú,5.0,,1388.0,Első kerék,Manuális,5.0,,5.7
22102220,1790000.0,,OPEL,ZAFIRA ZAFIRA B,2007.33,191906.0,Benzin,103.0,140.0,Kitűnő,140.0,Egyterű,7.0,Világosszürke (metál),1796.0,Első kerék,Manuális,5.0,,7.8
22060889,1790000.0,,RENAULT,FLUENCE,2013.08,223659.0,Dízel,66.0,90.0,Megkímélt,530.0,Sedan,5.0,Szürke (metál),1461.0,Első kerék,Manuális,5.0,,4.4
22038520,1790000.0,,ALFA ROMEO,MITO,2009.92,153000.0,Benzin,88.0,120.0,Kitűnő,270.0,Ferdehátú,4.0,,1368.0,Első kerék,Manuális,5.0,,6.1
22025957,1790000.0,,CHEVROLET,AVEO,2013.25,165804.0,Dízel,55.0,75.0,Megkímélt,502.0,Sedan,5.0,Fekete (metál),1248.0,Első kerék,Manuális,6.0,,4.1
21933403,1790000.0,,HONDA,JAZZ,2009.42,171000.0,Benzin,73.0,99.0,Kitűnő,375.0,Egyterű,5.0,Szürke (metál),1339.0,Első kerék,Manuális,5.0,,5.4
21931424,1790000.0,,RENAULT,SCENIC GRAND SCENIC,2010.92,269000.0,Dízel,96.0,131.0,Kitűnő,752.0,Egyterű,7.0,,1870.0,Első kerék,Manuális,6.0,,5.5
22132968,1799000.0,,FORD,C-MAX,2007.83,118129.0,Benzin,92.0,125.0,Megkímélt,460.0,Egyterű,5.0,Kék (metál),1798.0,Első kerék,Manuális,5.0,,7.1
22110391,1799000.0,,VOLKSWAGEN,GOLF GOLF PLUS,2010.58,213500.0,Benzin,77.0,105.0,Újszerű,395.0,Egyterű,5.0,Sötétszürke,1197.0,Első kerék,Manuális,6.0,,5.9
22084729,1799000.0,,KIA,CEE'D,2010.75,180000.0,Benzin,66.0,90.0,Normál,534.0,Kombi,5.0,,1396.0,Első kerék,Manuális,5.0,,5.7
